"County Name","Census Tract","Population","Body Mass Index","IBL Ranking"
"King","53033032307","4988","25.46","3"
"King","53033032309","4641","24.71","1"
"King","53033032311","4250","25.24","2"
"King","53033032313","4958","25.47","3"
"King","53033032315","4111","25.06","2"
"King","53033032316","3577","24.49","1"
"King","53033032317","4204","24.85","1"
"King","53033032318","3701","24.68","1"
"King","53033032319","3549","25.52","3"
"King","53033032320","2904","24.84","1"
"King","53033032321","3470","24.29","1"
"King","53033032322","2684","24.49","1"
"King","53033032323","3994","25.04","2"
"King","53033032324","3842","25.4","2"
"King","53033032325","4130","25.35","2"
"King","53033032326","2805","24.82","1"
"King","53033032327","3705","24.74","1"
"King","53033032328","2611","25.06","2"
"King","53033032329","5448","24.99","2"
"King","53033032401","4128","25.58","3"
"King","53033032402","4088","25.81","3"
"King","53033032500","3948","25.73","3"
"King","53033032601","2325","25.56","3"
"King","53033032602","7256","25.22","2"
"King","53033032702","4893","25.88","4"
"King","53033032703","1421","25.95","4"
"King","53033032704","4232","25.82","3"
"King","53033032800","1978","25.63","3"
"Kitsap","53035080101","2131","27.3","9"
"Kitsap","53035080102","3773","27.48","10"
"Kitsap","53035080200","2646","27.6","10"
"Kitsap","53035080300","2313","27.81","10"
"Kitsap","53035080400","2631","26.69","6"
"Kitsap","53035080500","2460","27.06","8"
"Kitsap","53035080600","4047","27.37","9"
"Kitsap","53035080700","2571","26.44","6"
"Kitsap","53035080800","1018","27.21","9"
"Kitsap","53035080900","3312","27.14","8"
"Kitsap","53035081000","3077","27.77","10"
"Kitsap","53035081100","2626","27.38","9"
"Kitsap","53035081200","2290","27.39","9"
"Kitsap","53035081400","1760","25.76","3"
"Kitsap","53035090101","4340","26.4","5"
"Kitsap","53035090102","4587","25.63","3"
"Kitsap","53035090201","3278","25.86","4"
"Kitsap","53035090202","3807","25.93","4"
"Kitsap","53035090300","3792","26.34","5"
"Kitsap","53035090400","3495","26.28","5"
"Kitsap","53035090501","2610","25.88","4"
"Kitsap","53035090502","3342","25.9","4"
"Kitsap","53035090700","3765","24.32","1"
